sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,Borough Location,Park Location,Sports Played,Week Start Date,Week End Date,Sunday's Attendance,Monday's Attendance,Tuesday's Attendance,Wednesday's Attendance,Thursday's Attendance,Friday's Attendance,Saturday's Attendance,Attendance Sum
row-diiz-smah.ct79,00000000-0000-0000-A855-FC596B55426A,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",2018-07-16T00:00:00,2018-07-20T00:00:00,0,189,104,236,164,162,0,855
row-my3h_w4mj~bws3,00000000-0000-0000-0175-0063BDAE2956,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,"Softball, basketball, agility training, drills, jacks, lacrosse",2018-07-08T00:00:00,2018-07-14T00:00:00,0,0,319,344,232,361,161,1417
row-ppn3.e7db~zm48,00000000-0000-0000-59B1-C5913E8138D1,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Soccer, Kickball,Volleyball, Flag Football, Basketball",2018-07-08T00:00:00,2018-07-14T00:00:00,0,3,42,66,35,13,0,159
row-4gn9~uwu4~7qzn,00000000-0000-0000-A7DF-FC23C7758389,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Pickle Ball, Soccer, Basketball,Frisbee,Track and Field",2018-07-15T00:00:00,2018-07-21T00:00:00,20,30,14,34,0,67,0,165
row-fh2i_fijd-fsbc,00000000-0000-0000-09E3-AE9DB1B03120,0,1540996344,,1540996344,,{ },Brooklyn,Sunset Park,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",2018-07-23T00:00:00,2018-07-27T00:00:00,0,90,184,52,156,138,0,620
row-n5xq-3kbf_sgmp,00000000-0000-0000-4EB7-7249F5416566,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Baseball Football Basketball Soccer,2018-07-15T00:00:00,2018-07-21T00:00:00,0,0,207,271,229,403,150,1260
row-dv3w_iypw-s7z4,00000000-0000-0000-E80C-D343AA7BCE06,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,basketball Baseball Soccer Football,2018-07-15T00:00:00,2018-07-21T00:00:00,0,0,103,220,204,147,192,866
row-i92s_r2pq.qexb,00000000-0000-0000-6D07-9E1045BEDBAF,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Football Basketball Baseball,2018-07-15T00:00:00,2018-07-21T00:00:00,0,0,103,220,204,147,192,866
row-ug3w-mkbr_8t82,00000000-0000-0000-277A-1412C6E17045,0,1540996344,,1540996344,,{ },Manhattan,Thomas Jefferson Park,varies sports,2018-07-09T00:00:00,2018-07-13T00:00:00,0,6,7,10,7,8,0,38
row-fqjm-9wpe~eqhd,00000000-0000-0000-9960-BCADB71D1BB9,0,1540996344,,1540996344,,{ },Manhattan,Thomas Jefferson Park,various sports,2018-07-16T00:00:00,2018-07-20T00:00:00,0,7,9,8,9,10,0,43
