sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,Borough Location,Park Location,Sports Played,Week Start Date,Week End Date,Sunday's Attendance,Monday's Attendance,Tuesday's Attendance,Wednesday's Attendance,Thursday's Attendance,Friday's Attendance,Saturday's Attendance,Attendance Sum
row-fpr6~dnz3-gigd,00000000-0000-0000-437C-589D4850DCC8,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Tennis, Soccer ,Kickball, Flag Football",2018-08-26T00:00:00,2018-09-01T00:00:00,0,37,24,31,21,23,12,148
row-56n7_jmhf-9scq,00000000-0000-0000-587B-A1815C234BDC,0,1540996344,,1540996344,,{ },Bronx,Williamsbridge Oval,"Soccer, Basketball, Kickball, Track and Field,",2018-09-02T00:00:00,2018-09-08T00:00:00,0,12,17,15,21,25,11,101
row-ycqc-rwb7_9bnb,00000000-0000-0000-514C-682E6E0493CC,0,1540996344,,1540996344,,{ },Queens,Playground for All Children,Basketball soccer football baseball,2018-09-09T00:00:00,2018-09-15T00:00:00,0,0,14,2,4,23,195,238
row-eedu.79wv-u2wu,00000000-0000-0000-910F-224BA58BCCE2,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,"Basketball, football, soccer, flag football",2019-09-29T00:00:00,2019-10-05T00:00:00,28,15,0,15,0,52,60,170
row-7mjf.fej4_z4pd,00000000-0000-0000-E283-9B67EE5429EB,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,"Basketball, Soccer, Football, Volleyball",2019-09-22T00:00:00,2019-09-28T00:00:00,22,17,0,25,0,35,55,154
row-3ath-mgv5_ensz,00000000-0000-0000-8C0D-6597630FEAE4,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,"Basketball, Soccer, Football",2019-09-15T00:00:00,2019-09-21T00:00:00,21,15,0,0,0,37,50,123
row-wxz8.axar-n8by,00000000-0000-0000-F6B1-E3494BF0B1D1,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,none,2019-08-25T00:00:00,2019-08-31T00:00:00,0,0,0,0,0,0,0,0
row-wapf~mfhy.4gdu,00000000-0000-0000-3504-C29CEF7DD8AB,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,football,2019-08-18T00:00:00,2019-08-24T00:00:00,0,0,0,40,43,55,65,203
row-gtmj~4k5c-f8ax,00000000-0000-0000-E473-3CF78988D826,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,soccer,2019-08-11T00:00:00,2019-08-17T00:00:00,0,0,40,25,21,30,42,158
row-hkfe-2835.ibuz,00000000-0000-0000-AA7A-95A443672F82,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Soccer, Basketball, Flag Football",2019-09-08T00:00:00,2019-09-14T00:00:00,0,15,18,20,12,16,5,86
row-jr76.vy5m_rch2,00000000-0000-0000-CE7E-539990EA67D7,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Soccer, Basketball, Flag Football",2019-09-08T00:00:00,2019-09-14T00:00:00,0,15,18,20,12,16,5,86
row-xre5~ypfk_7mg8,00000000-0000-0000-8645-35B0E98528CA,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Soccer , Basketball, flag football",2019-09-01T00:00:00,2019-09-07T00:00:00,0,19,22,26,31,28,5,131
row-5tvk.pw46~ap85,00000000-0000-0000-65E0-AD8B575585E5,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Basketball, soccer, Flag Football, group Games",2019-08-25T00:00:00,2019-08-31T00:00:00,0,22,26,20,16,12,25,121
row-uzqi~xfzv.ben4,00000000-0000-0000-63AF-E0085C1AF75E,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Basketball, Soccer, Volleyball, Flag football, group Games",2019-08-18T00:00:00,2019-08-24T00:00:00,0,5,10,12,15,25,16,83
row-tn7x~jsv9_esuw,00000000-0000-0000-7646-E89C1851AAD3,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,basketball,2019-09-08T00:00:00,2019-09-14T00:00:00,11,15,0,0,0,0,40,66
row-divp~rfgz.m5bj,00000000-0000-0000-F856-C01D5ACFA07C,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"basketball, soccer, volleyball, water games",2019-08-11T00:00:00,2019-08-17T00:00:00,0,9,0,798,29,0,0,836
row-t7t5_mgdz-hcu3,00000000-0000-0000-9CB8-516720B7AFB5,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"soccer, basketball, flag football, arts n crafts, volleyball, water games",2019-08-04T00:00:00,2019-08-10T00:00:00,0,38,24,33,0,0,0,95
row-emfm~n4bz-5rk4,00000000-0000-0000-9C18-8574B1BB93AD,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"basketball, soccer,",2019-07-28T00:00:00,2019-08-03T00:00:00,0,0,3,17,40,0,0,60
row-ss7x.jgbu.q73b,00000000-0000-0000-D96C-2DE789387EB5,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Basketball, bingo, dodgeball, soccer",2019-07-21T00:00:00,2019-07-27T00:00:00,0,17,25,32,16,0,0,90
row-xbic~y5hb~m5bf,00000000-0000-0000-7410-89543383DAF7,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"flag football , basketball, soccer",2019-08-20T00:00:00,2019-08-24T00:00:00,0,0,45,50,36,42,15,188
row-28fa.entf-ferk,00000000-0000-0000-CD3B-3C7B4C43C5B8,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,Football,2019-09-01T00:00:00,2019-09-07T00:00:00,0,0,0,0,0,0,60,60
row-gsxs~u2nj.bfvz,00000000-0000-0000-839C-8AE6ADEB212B,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"Basketball, Flag football , T-ball",2019-08-13T00:00:00,2019-08-17T00:00:00,0,0,45,1050,40,50,15,1200
row-jucf_ghm9~6ti8,00000000-0000-0000-222F-2B86C32215FB,0,1723216080,,1723216080,,{ },Brooklyn,Sunset Park,"Basketball, Flag Football, Badmiton, Field Games, Soccer",2019-08-12T00:00:00,2019-08-16T00:00:00,0,10,8,9,8,6,0,41
row-wgt4~5yh8~m9qz,00000000-0000-0000-0493-1F7407C6055B,0,1723216080,,1723216080,,{ },Brooklyn,Sunset Park,"T-Ball, Pickleball, Cornhole, Badmiton, Volleyball",2019-08-05T00:00:00,2019-08-09T00:00:00,0,16,12,15,10,11,0,64
row-e86q-gyry~jkrg,00000000-0000-0000-3D13-9FA66EE02F2A,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,Track & field,2019-08-04T00:00:00,2019-08-10T00:00:00,0,0,0,13,0,50,30,93
row-vaep_kwwt-nc2p,00000000-0000-0000-4457-49060E81A1CB,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,basketball,2019-07-28T00:00:00,2019-08-03T00:00:00,0,0,37,40,38,55,32,202
row-r9xs.xbvu~7s6y,00000000-0000-0000-0C2C-08F3CBD2306B,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"Basketball, flag football",2019-08-06T00:00:00,2019-08-10T00:00:00,0,0,20,25,15,30,8,98
row-74ui.kcf6_pdrz,00000000-0000-0000-D401-22A36A27BD41,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"Basketball, flag football, soccer",2019-07-30T00:00:00,2019-08-03T00:00:00,0,0,25,15,40,30,10,120
row-fiky~rwp3-fx6a,00000000-0000-0000-0894-48CA2551C630,0,1723216080,,1723216080,,{ },Brooklyn,Sunset Park,"Bowling, Volleyball, Baskeball, Track & Field, Soccer, T Ball",2019-07-29T00:00:00,2019-08-02T00:00:00,0,22,15,18,19,14,0,88
row-4azm.r54u.aeq6,00000000-0000-0000-00C8-915B2C244EFD,0,1723216080,,1723216080,,{ },Brooklyn,Sunset Park,"Flag Football, Basketball, Volleyball, Bowling, Badmiton, Soccer, Track and Field",2019-07-22T00:00:00,2019-07-26T00:00:00,0,19,21,13,10,17,0,80
row-qi97~2udy~q2b9,00000000-0000-0000-79A8-C45D40B5BF55,0,1723216080,,1723216080,,{ },Brooklyn,Sunset Park,"Soccer, Basketball, Structured Play, Badmiton, Volleyball, Ulimate Frisbee",2019-07-15T00:00:00,2019-07-19T00:00:00,0,14,16,8,10,18,0,66
row-pu9y~ssbc.3uu5,00000000-0000-0000-B95A-D96E70D73FBB,0,1723216080,,1723216080,,{ },Brooklyn,Sunset Park,"Soccer, Basketball, Flag football, Kickball, Badmiton, Bowling, Volleyball",2019-07-08T00:00:00,2019-07-12T00:00:00,0,22,19,15,18,10,0,84
row-gksh.kw6y~zkua,00000000-0000-0000-D3D9-8B725BFF153E,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,Dodge ball Soccer Track and field,2019-07-21T00:00:00,2019-07-27T00:00:00,0,0,41,95,48,37,109,330
row-jr89.676g_dtjs,00000000-0000-0000-4116-6C6B983A5211,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"Flag football, Basketball, soccer",2019-07-23T00:00:00,2019-07-27T00:00:00,0,0,40,35,30,50,0,155
row-76zv-hxki~dchy,00000000-0000-0000-5BBE-1A4FFB596FDF,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,"Baseball, soccer, basketball, badminton, kickball, relay race",2019-07-14T00:00:00,2019-07-20T00:00:00,0,0,0,113,120,51,0,284
row-mvg7-nb3z-we7g,00000000-0000-0000-F590-8727EA3FF9F6,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,footbal track and field,2019-07-07T00:00:00,2019-07-13T00:00:00,0,0,0,30,38,0,37,105
row-ewb3-x8c8~29jf,00000000-0000-0000-6514-A5A1BF76DC13,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"flag football , basketball, soccer",2019-07-16T00:00:00,2019-07-20T00:00:00,0,0,40,35,45,20,15,155
row-5a7s-nxr6.6kjg,00000000-0000-0000-82AA-953F13D176D6,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Soccer, group Games, basket ball, volley ball",2019-07-14T00:00:00,2019-07-20T00:00:00,0,38,18,55,0,54,2,167
row-5h3z_typ7-vcd2,00000000-0000-0000-B01F-2606474F88D6,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"soccer , basketball, volleyball, group games",2019-07-07T00:00:00,2019-07-13T00:00:00,0,0,17,25,23,54,10,129
row-kabc.pzxi-bucx,00000000-0000-0000-2A65-CA2819B473F2,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Soccer, basketball, voleyball, water balloon toss, group games",2019-06-30T00:00:00,2019-07-06T00:00:00,0,24,35,41,0,30,22,152
row-8769-u4zc_mx2m,00000000-0000-0000-4E93-75BDB7EFB715,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"Flag Football, Basketball,Soccer",2019-07-09T00:00:00,2019-07-13T00:00:00,0,0,55,50,70,300,15,490
row-5b7z.pk5z_rsb5,00000000-0000-0000-4FC3-8074552BAE7B,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,baseball basketball soccer,2019-06-30T00:00:00,2019-07-06T00:00:00,0,0,10,160,0,0,144,314
row-mes5.97r5-r78w,00000000-0000-0000-6D89-1C73F4BF33CF,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,baseball,2019-06-23T00:00:00,2019-06-29T00:00:00,0,80,87,83,90,0,112,452
row-j522~xhna.4wwi,00000000-0000-0000-AD79-78B2D8AC2576,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"Flag football,basketball,t-ball,soccer,track",2019-07-02T00:00:00,2019-07-06T00:00:00,0,0,40,35,0,40,20,135
row-rvfp.h4ym-xw9x,00000000-0000-0000-B2A7-8CAD00F96AF4,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,soccer,2019-06-16T00:00:00,2019-06-22T00:00:00,0,0,0,6,5,13,60,84
row-fi32.8jzv~xqj6,00000000-0000-0000-28C8-04379863DFD9,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,soccer,2019-06-16T00:00:00,2019-06-22T00:00:00,0,0,0,6,5,13,60,84
row-c4m8~9phg~btx4,00000000-0000-0000-01C8-8FC1A316E09D,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Basketball, soccer, street hockey, obstacle course.",2019-06-23T00:00:00,2019-06-29T00:00:00,0,6,71,16,15,22,0,130
row-5if2_wqrv~9quh,00000000-0000-0000-44CF-827BC8898BD5,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,Due to weather we played group games.,2019-06-16T00:00:00,2019-06-22T00:00:00,0,2,0,5,0,9,0,16
row-nhwz~wjbr_u4hq,00000000-0000-0000-86E2-6C2DBF5C7EC1,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,Flag football and soccer,2019-06-09T00:00:00,2019-06-15T00:00:00,0,0,34,0,0,7,0,41
row-fvek~k5h8~ic3s,00000000-0000-0000-F7F3-324F1C072ED9,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Soccer, Group games, volley Ball, Basketball",2019-06-02T00:00:00,2019-06-08T00:00:00,0,0,30,18,75,39,0,162
row-4kfv~q8sw-arwr,00000000-0000-0000-0ECA-729CD0CF3685,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,baseball volleyball basketball,2019-06-09T00:00:00,2019-06-15T00:00:00,0,0,17,66,5,77,0,165
row-as8t-y249_u2gh,00000000-0000-0000-229C-5AE2F013914E,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,"track and field, basketball",2019-06-09T00:00:00,2019-06-15T00:00:00,0,0,17,66,5,77,0,165
row-bqss~sfah~heim,00000000-0000-0000-8C41-F87251820FE4,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,"Basketball, Soccer, Frisbee, Baseball",2019-06-02T00:00:00,2019-06-08T00:00:00,0,0,24,20,0,39,33,116
row-tbww~xzsv~dru7,00000000-0000-0000-6A39-AC4E64DE0F3B,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,Soccer,2019-05-26T00:00:00,2019-06-01T00:00:00,0,0,8,31,44,73,0,156
row-ypvb_78cx_tzta,00000000-0000-0000-2DA2-341B6D2B7B2F,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"soccer , basketball, volleyball, relay races",2019-05-26T00:00:00,2019-06-01T00:00:00,0,0,0,15,0,3,30,48
row-t9sd_2pe5.y2ic,00000000-0000-0000-1DF4-BAD5F8E5D862,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,Basketball,2019-05-19T00:00:00,2019-05-25T00:00:00,0,16,35,0,50,19,0,120
row-qtuf~rxx6.jdjf,00000000-0000-0000-7C7E-F96B42533409,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Basketball, soccer , catch, obstacle course",2019-05-19T00:00:00,2019-05-25T00:00:00,0,5,17,38,21,16,0,97
row-erzd_wedd-he79,00000000-0000-0000-1D7D-0D87D8983105,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Soccer, golf, group game- hula hoop tag",2019-05-12T00:00:00,2019-05-18T00:00:00,0,0,0,35,45,25,0,105
row-u26p~8scn.qjsh,00000000-0000-0000-A047-BAED3423DF4A,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Hula Hoop, Volley Ball, Soccer, Catch, Basketball.",2019-05-05T00:00:00,2019-05-11T00:00:00,0,10,15,5,25,22,0,77
row-2udq_9t52.xmfs,00000000-0000-0000-B1FE-7692D012A2B0,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,"Soccer, football, basketball, softball",2019-04-28T00:00:00,2019-05-04T00:00:00,0,0,191,0,76,0,166,433
row-nuzt~cz8q.sqtk,00000000-0000-0000-6219-F1F97BB69019,0,1723216080,,1723216080,,{ },Queens,Playground for All Children,softball soccer,2019-04-21T00:00:00,2019-04-27T00:00:00,0,0,347,362,9,0,0,718
row-pwbx.kp2y-8yih,00000000-0000-0000-74CE-9F2150DC5634,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"Football, Basketball",2021-09-07T00:00:00,2021-09-09T00:00:00,0,0,20,0,0,0,0,20
row-aht4-vyzi_wfcf,00000000-0000-0000-770F-144851D7ADA3,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"Football, Frisbee, Basketball",2021-08-31T00:00:00,2021-09-02T00:00:00,0,0,18,0,23,0,0,41
row-7v6a~5m4t-xadf,00000000-0000-0000-30F2-7CA9FBFE1B71,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"Football, Frisbee, Soccer",2021-08-24T00:00:00,2021-08-26T00:00:00,0,0,20,0,26,0,0,46
row-t2rk.medq~4q4c,00000000-0000-0000-CFCC-6C17AF112DBB,0,1723216080,,1723216080,,{ },Brooklyn,John J Carty Playground,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",2021-08-30T00:00:00,2021-09-03T00:00:00,0,46,54,0,0,0,0,100
row-mtss-fbi4~jyf9,00000000-0000-0000-97F6-E2E5BA21BF2F,0,1723216080,,1723216080,,{ },Brooklyn,John J Carty Playground,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",2021-08-23T00:00:00,2021-08-27T00:00:00,0,0,17,21,19,26,0,83
row-b85m-uq7a.j6yt,00000000-0000-0000-551B-09E63BF3B10E,0,1723216080,,1723216080,,{ },Queens,Mafera Park,Soccer Basketball,2021-08-05T00:00:00,2021-08-26T00:00:00,0,0,0,0,56,0,0,56
row-xtgi~g7ub-3ijs,00000000-0000-0000-C395-D115859D0101,0,1723216080,,1723216080,,{ },Queens,Electric Playground,Soccer,2021-08-04T00:00:00,2021-08-25T00:00:00,0,0,0,60,0,0,0,60
row-mt2g~6j7g~vnrv,00000000-0000-0000-D810-FBA588A9AD19,0,1723216080,,1723216080,,{ },Queens,Real Good Playground,Soccer Basketball,2021-08-03T00:00:00,2021-08-25T00:00:00,0,0,50,0,0,0,0,50
row-ih37.bmdy_jvar,00000000-0000-0000-8FAE-1FB15E87077D,0,1723216080,,1723216080,,{ },Queens,Mafera Park,Basketball,2021-07-01T00:00:00,2021-07-29T00:00:00,0,0,0,0,56,0,0,56
row-dcrr-rip7-pyfe,00000000-0000-0000-03F7-5774A8DD8A0A,0,1723216080,,1723216080,,{ },Queens,Electric Playground,Soccer basketball,2021-07-07T00:00:00,2021-07-28T00:00:00,0,0,0,20,0,0,0,20
row-cgfr_h46w-tvg5,00000000-0000-0000-7628-05B52EE7907E,0,1723216080,,1723216080,,{ },Queens,Real Good Playground,Soccer basketball,2021-07-06T00:00:00,2021-07-27T00:00:00,0,0,60,0,0,0,0,60
row-m3q3~vs6p_q2m6,00000000-0000-0000-D502-5D254453C412,0,1723216080,,1723216080,,{ },Queens,Electric Playground,Basketball,2021-06-23T00:00:00,2021-06-30T00:00:00,0,0,0,25,0,0,0,25
row-bi6z-7dh3.r7dn,00000000-0000-0000-7B49-59B5B225A347,0,1723216080,,1723216080,,{ },Queens,Real Good Playground,Soccer Basketball,2021-06-22T00:00:00,2021-06-29T00:00:00,0,0,20,0,0,0,0,20
row-nx7h~btbd-67f8,00000000-0000-0000-0681-3BD6C937BEF5,0,1723216080,,1723216080,,{ },Queens,Mafera Park,Basketball,2021-09-17T00:00:00,2021-09-18T00:00:00,0,0,0,0,10,0,0,10
row-6wa5~9xak.irbk,00000000-0000-0000-9CB6-06454CAB143C,0,1723216080,,1723216080,,{ },Queens,Electric Playground,Soccer,2021-06-16T00:00:00,2021-06-19T00:00:00,0,0,0,5,0,0,0,5
row-idp8~gghk.uwx6,00000000-0000-0000-1F98-AF2FA8FCBD8D,0,1723216080,,1723216080,,{ },Queens,Real Good Playground,Basketball,2021-06-15T00:00:00,2021-06-19T00:00:00,0,0,15,0,0,0,0,15
row-nvz5-3z2q_42tx,00000000-0000-0000-305B-2F42651E1017,0,1723216080,,1723216080,,{ },Queens,Mafera Park,Basketball soccer,2021-06-10T00:00:00,2021-06-12T00:00:00,0,0,0,0,15,0,0,15
row-hc2r~i53j.6hyz,00000000-0000-0000-B15E-DF48EC8D27B0,0,1723216080,,1723216080,,{ },Queens,Electric Playground,Soccer Basketball,2021-06-09T00:00:00,2021-06-12T00:00:00,0,0,0,5,0,0,0,5
row-ngrc_n6pq_v2kb,00000000-0000-0000-6E44-1F540BC8EC0E,0,1723216080,,1723216080,,{ },Queens,Real Good Playground,Basketball,2021-06-08T00:00:00,2021-06-12T00:00:00,0,0,10,0,0,0,0,10
row-9mhd-zd79_eegd,00000000-0000-0000-9226-7DA4EC841C23,0,1723216080,,1723216080,,{ },Queens,Mafera Park,Soccer,2021-06-03T00:00:00,2021-06-05T00:00:00,0,0,0,0,5,0,0,5
row-sz8x-5tg8~a2xg,00000000-0000-0000-5BD3-7EAF37918281,0,1723216080,,1723216080,,{ },Queens,Electric Playground,Basketball,2021-06-02T00:00:00,2021-06-05T00:00:00,0,0,0,15,0,0,0,15
row-naeu~imxk-9hcj,00000000-0000-0000-CF20-C89289D97BC2,0,1723216080,,1723216080,,{ },Queens,Electric Playground,"Basketball, soccer, Flag football",2021-06-01T00:00:00,2021-06-05T00:00:00,0,0,10,0,0,0,0,10
row-vsas_3vqk_adqq,00000000-0000-0000-280E-10FE2116C247,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Baseball, Volleyball, Soccer, Football, Tennis",2021-08-23T00:00:00,2021-08-27T00:00:00,0,35,30,38,28,0,0,131
row-ukxw-pbgq.kcfd,00000000-0000-0000-1F31-9266FEAC7606,0,1723216080,,1723216080,,{ },Brooklyn,John J Carty Playground,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",2021-08-16T00:00:00,2021-08-20T00:00:00,0,41,43,57,36,23,0,200
row-zsz7.pfby-i2i4,00000000-0000-0000-A217-86CFCE2966E7,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Baseball, Soccer,  Football, Tennis,",2021-08-16T00:00:00,2021-08-20T00:00:00,0,41,48,60,33,31,0,213
row-9kpa.p8hy-fbvw,00000000-0000-0000-A5E3-3F8F0866D422,0,1723216080,,1723216080,,{ },Staten Island,Midland Beach,Soccer and football,2021-08-08T00:00:00,2021-08-15T00:00:00,0,0,0,0,0,0,0,0
row-9bj9-4rm9_gxem,00000000-0000-0000-E137-9AE98BF685C1,0,1723216080,,1723216080,,{ },Brooklyn,John J Carty Playground,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",2021-08-09T00:00:00,2021-08-13T00:00:00,0,33,27,23,11,13,0,107
row-z6z8-r99b-8iz6,00000000-0000-0000-41CD-65AD20A89475,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Baseball, Volleyball, Soccer, Football, Tennis",2021-08-09T00:00:00,2021-08-13T00:00:00,0,31,48,37,17,97,0,230
row-a328_7y64-abdy,00000000-0000-0000-C16F-D32A9EFE851D,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"Soccer, kickball, pickleball, basketball, football",2021-08-03T00:00:00,2021-08-05T00:00:00,0,0,40,0,32,0,0,72
row-pjtv_6iu6.mz45,00000000-0000-0000-FB4F-2AEFFC88E10F,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Volleyball, Football, Baseball, Soccer, Tennis",2021-08-02T00:00:00,2021-08-06T00:00:00,0,35,61,29,22,25,0,172
row-pbkr_x93n~24bx,00000000-0000-0000-3693-6C603F680CE0,0,1723216080,,1723216080,,{ },Brooklyn,John J Carty Playground,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",2021-08-02T00:00:00,2021-08-06T00:00:00,0,49,68,71,33,27,0,248
row-sm9w.z7q3~7cd8,00000000-0000-0000-B510-9596B136269D,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"Basketball, Kickball, Frisbee, Sports drills",2021-07-27T00:00:00,2021-07-29T00:00:00,0,0,25,0,30,0,0,55
row-sxyr_mfrj~bfrb,00000000-0000-0000-9EA8-F9018254BF54,0,1723216080,,1723216080,,{ },Bronx,Williamsbridge Oval,"Baseball, Soccer, football",2021-07-26T00:00:00,2021-07-30T00:00:00,0,37,37,44,0,0,0,118
row-k5fv_duig~srmi,00000000-0000-0000-FEAE-D98015D8A2AA,0,1723216080,,1723216080,,{ },Brooklyn,John J Carty Playground,"Street hockey, basketball, team handball, youth strength, kickball, volleyball, pickleball, soccer, frisbee, football, biking, carnival games, football, senior strength",2021-07-26T00:00:00,2021-07-30T00:00:00,0,46,44,57,47,51,0,245
row-f9ce_ewvu_cczd,00000000-0000-0000-D25A-C2DBBA657936,0,1723216080,,1723216080,,{ },Staten Island,CPL. Thompson Park,"Football, Basketball, Kickball, Sport drills",2021-07-20T00:00:00,2021-07-22T00:00:00,0,0,40,0,28,0,0,68
row-aduh.mvah_hr9f,00000000-0000-0000-A4D6-037EDCBF9323,0,1723216080,,1723216080,,{ },Queens,Real Good Playground,"Basketball, Soccer",2021-07-27T00:00:00,2021-07-27T00:00:00,0,0,12,0,0,0,0,12
row-ddzh.8nmi~i7qg,00000000-0000-0000-A522-623E3C248B0E,0,1723216080,,1723216080,,{ },Queens,Mafera Park,"Basketball, Flag football",2021-07-22T00:00:00,2021-07-22T00:00:00,0,0,0,0,19,0,0,19
row-zjc9~v88n-u9uv,00000000-0000-0000-8DEA-3A3DFEC2C923,0,1723216080,,1723216080,,{ },Queens,Electric Playground,"Basketball, Flag football",2021-07-21T00:00:00,2021-07-21T00:00:00,0,0,0,5,0,0,0,5
row-437k_nzw2.2yu3,00000000-0000-0000-D125-9911D08D0EAD,0,1723216080,,1723216080,,{ },Queens,Real Good Playground,"Basketball, Soccer",2021-07-20T00:00:00,2021-07-20T00:00:00,0,0,10,0,0,0,0,10
row-ic9s-vkky-sja2,00000000-0000-0000-686F-2D8AB692AB05,0,1723216080,,1723216080,,{ },Queens,Mafera Park,"Basketball, Flag football",2021-07-15T00:00:00,2021-07-15T00:00:00,0,0,0,0,20,0,0,20
row-x7yg-h48r~ge2e,00000000-0000-0000-7213-8C91FC204994,0,1723216080,,1723216080,,{ },Queens,Real Good Playground,"Basketball, Flag football",2021-07-13T00:00:00,2021-07-13T00:00:00,0,0,15,0,0,0,0,15
row-gr7n~syq9_uq3y,00000000-0000-0000-5ABC-5617371BB44E,0,1723216080,,1723216080,,{ },Queens,Electric Playground,"Basketball, Flag football",2021-07-14T00:00:00,2021-07-14T00:00:00,0,0,0,10,0,0,0,10
row-2388-d74r-igea,00000000-0000-0000-6693-02A6910B8390,0,1723216080,,1723216080,,{ },Queens,Mafera Park,"Basketball, Soccer",2021-07-08T00:00:00,2021-07-08T00:00:00,0,0,0,0,20,0,0,20
row-sfqw.8wiz~m5ma,00000000-0000-0000-13AE-6A0B51ED61E5,0,1723216080,,1723216080,,{ },Queens,Electric Playground,"Basketball, Soccer",2021-07-07T00:00:00,2021-07-07T00:00:00,0,0,0,15,0,0,0,15
row-yd42~2zkw.u9uv,00000000-0000-0000-D749-D69F786E4A01,0,1723216080,,1723216080,,{ },Queens,Real Good Playground,"Basketball, Soccer",2021-07-06T00:00:00,2021-07-06T00:00:00,0,0,20,0,0,0,0,20
row-zx3t-3sqm~4hea,00000000-0000-0000-45FB-D72DF9E7B412,0,1723216080,,1723216080,,{ },Brooklyn,John J Carty Playground,"Street hockey, basketball, team handball, youth strength, kickball, volleyball, pickleball, soccer, frisbee, football, biking, carnival games, football, senior strength",2021-07-19T00:00:00,2021-07-23T00:00:00,0,41,43,45,56,51,0,236
